Date : 2024-03-14 12:08:52
Directory : d:\work\programming228\web\game-tensor
Total : 89 files,  16382 codes, 235 comments, 314 blanks, all 16931 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          3 |     12,062 |          0 |          5 |     12,067 |
| TypeScript JSX     |         25 |      1,604 |         62 |        114 |      1,780 |
| SCSS               |         18 |      1,378 |          0 |         34 |      1,412 |
| TypeScript         |         35 |        945 |        162 |        126 |      1,233 |
| CSS                |          1 |        256 |          0 |         14 |        270 |
| JavaScript         |          2 |         66 |         11 |          4 |         81 |
| Markdown           |          1 |         26 |          0 |         16 |         42 |
| JSON with Comments |          1 |         22 |          0 |          1 |         23 |
| YAML               |          1 |         21 |          0 |          0 |         21 |
| XML                |          2 |          2 |          0 |          0 |          2 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                  | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                     |         89 |     16,382 |        235 |        314 |     16,931 |
| . (Files)                                                                             |          7 |     12,176 |         11 |         26 |     12,213 |
| .github                                                                               |          1 |         21 |          0 |          0 |         21 |
| .github\workflows                                                                     |          1 |         21 |          0 |          0 |         21 |
| public                                                                                |          2 |          2 |          0 |          0 |          2 |
| src                                                                                   |         79 |      4,183 |        224 |        288 |      4,695 |
| src\components                                                                        |          8 |        650 |          9 |         40 |        699 |
| src\helper                                                                            |          7 |        261 |        135 |         13 |        409 |
| src\helper\Constants                                                                  |          6 |        202 |        135 |          6 |        343 |
| src\helper\Types                                                                      |          1 |         59 |          0 |          7 |         66 |
| src\interceptors                                                                      |          1 |         53 |          6 |          7 |         66 |
| src\layouts                                                                           |          3 |         76 |          2 |          8 |         86 |
| src\pages                                                                             |         14 |        878 |         51 |         66 |        995 |
| src\pages (Files)                                                                     |          7 |        320 |         15 |         25 |        360 |
| src\pages\ad                                                                          |          2 |        271 |         25 |         17 |        313 |
| src\pages\admin                                                                       |          3 |        172 |         11 |         17 |        200 |
| src\pages\user                                                                        |          2 |        115 |          0 |          7 |        122 |
| src\store                                                                             |         27 |        631 |         21 |        106 |        758 |
| src\store (Files)                                                                     |          1 |         36 |          1 |          3 |         40 |
| src\store\ads                                                                         |          3 |         76 |         15 |         13 |        104 |
| src\store\currentUser                                                                 |          3 |         76 |          1 |         13 |         90 |
| src\store\id                                                                          |          3 |         59 |          1 |         12 |         72 |
| src\store\imageId                                                                     |          3 |         46 |          0 |         10 |         56 |
| src\store\login                                                                       |          3 |         71 |          0 |         12 |         83 |
| src\store\logout                                                                      |          2 |         46 |          0 |          7 |         53 |
| src\store\registration                                                                |          3 |         71 |          0 |         11 |         82 |
| src\store\search                                                                      |          3 |         92 |          2 |         13 |        107 |
| src\store\tags                                                                        |          3 |         58 |          1 |         12 |         71 |
| src\styles                                                                            |         19 |      1,634 |          0 |         48 |      1,682 |
+---------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                              | language           | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| d:\work\programming228\web\game-tensor\.eslintrc.js                                   | JavaScript         |         53 |          8 |          1 |         62 |
| d:\work\programming228\web\game-tensor\.github\workflows\production.yml               | YAML               |         21 |          0 |          0 |         21 |
| d:\work\programming228\web\game-tensor\.prettierrc                                    | JSON               |         14 |          0 |          3 |         17 |
| d:\work\programming228\web\game-tensor\README.md                                      | Markdown           |         26 |          0 |         16 |         42 |
| d:\work\programming228\web\game-tensor\next.config.js                                 | JavaScript         |         13 |          3 |          3 |         19 |
| d:\work\programming228\web\game-tensor\package-lock.json                              | JSON               |     11,991 |          0 |          1 |     11,992 |
| d:\work\programming228\web\game-tensor\package.json                                   | JSON               |         57 |          0 |          1 |         58 |
| d:\work\programming228\web\game-tensor\public\next.svg                                | XML                |          1 |          0 |          0 |          1 |
| d:\work\programming228\web\game-tensor\public\vercel.svg                              | XML                |          1 |          0 |          0 |          1 |
| d:\work\programming228\web\game-tensor\src\components\CardAds.tsx                     | TypeScript JSX     |         61 |          0 |          4 |         65 |
| d:\work\programming228\web\game-tensor\src\components\CardTag.tsx                     | TypeScript JSX     |         18 |          0 |          3 |         21 |
| d:\work\programming228\web\game-tensor\src\components\FollowModal.tsx                 | TypeScript JSX     |         62 |          1 |          6 |         69 |
| d:\work\programming228\web\game-tensor\src\components\Footer.tsx                      | TypeScript JSX     |         54 |          0 |          3 |         57 |
| d:\work\programming228\web\game-tensor\src\components\Header.tsx                      | TypeScript JSX     |        223 |          2 |          4 |        229 |
| d:\work\programming228\web\game-tensor\src\components\Search.tsx                      | TypeScript JSX     |         81 |          2 |          5 |         88 |
| d:\work\programming228\web\game-tensor\src\components\Sidebar.tsx                     | TypeScript JSX     |         60 |          2 |          7 |         69 |
| d:\work\programming228\web\game-tensor\src\components\TagsSearch.tsx                  | TypeScript JSX     |         91 |          2 |          8 |        101 |
| d:\work\programming228\web\game-tensor\src\helper\Constants\images_id.ts              | TypeScript         |         14 |          0 |          1 |         15 |
| d:\work\programming228\web\game-tensor\src\helper\Constants\mockAds.ts                | TypeScript         |         38 |        135 |          1 |        174 |
